ISIN;FONDO;DIVISA;CLASE DE ACTIVO;ESG;RENT. YTD;VOL 3A;FICHA
IE00B84J9L26;PIMCO GIS Income;Euro;Global Fixed Income;Not Stated;-0,08%;3,33%;https://api.fundinfo.com/document/9b4c985ceb619d48a6ffd90427ccca2e_238212/MR_ES_es_IE00B84J9L26_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0571102010;G FUND Alpha Fixed Income;Euro;Europe Fixed Income;Article 8;2,10%;5,59%;https://api.fundinfo.com/document/662992f22d118bc601c597f80046d754_374135/MR_ES_es_LU0571102010_YES_2022-02-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
