ISIN;FONDO;DIVISA;CLASE DE ACTIVO;ESG;RENT. YTD;VOL 3A;FICHA
LU0093666013;Franklin Templeton Euroland;Euro;Europe Equity Large Cap;Not Stated;11,83%;-;https://api.fundinfo.com/document/4eb56a52029bb2a364f8ef4c2d88ded1_224067/MR_ES_es_LU0093666013_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2240056015;Lonvia Avenir Mid Cap Europe;Euro;Europe Equity Mid/Small Cap;Article 8;8,12%;-;https://api.fundinfo.com/document/776d4a336d80094890f9e1354700ca73_438277/MR_ES_es_LU2240056015_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2240056445;Lonvia Avenir Mid Cap Euro;Euro;Europe Equity Mid/Small Cap;Article 9;6,82%;19,20%;https://api.fundinfo.com/document/c5fde828a4a6bfb9141dd39ee4c119b0_438096/MR_ES_es_LU2240056445_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0261951528;Fidelity European Smaller Companies;Euro;Europe Equity Mid/Small Cap;Not Stated;7,56%;19,09%;https://api.fundinfo.com/document/2f036fe390cf879c78bc8b3efdcbcb79_450161/MR_ES_es_LU0261951528_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0131510165;Independance et Expansion - France Small;Euro;Europe Equity Mid/Small Cap;Article 8;7,65%;12,75%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F0GBR06C2S&ClientFund=1&SecurityToken=F0GBR06C2S]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
LU0935229400;Seeyond Europe MinVol;Euro;Europe Equity Large Cap;Article 8;7,67%;14,44%;https://api.fundinfo.com/document/42da0005e0596fc9e3936a1b1fe34c23_609312/MR_ES_es_LU0935229400_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0353647737;Fidelity - European Dividend Fund;Euro;Europe Equity Large Cap;Article 8;11,98%;20,57%;https://api.fundinfo.com/document/8cedf68876d2ff5afcbb5246272f627b_470537/MR_ES_es_LU0353647737_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0563745743;Fidentiis Tordesillas Iberia;Euro;Europe Equity Mid/Small Cap;Not Stated;14,16%;16,34%;https://api.fundinfo.com/document/d7185f2a86f9c70f1481c62c59c475f1_484594/MR_ES_es_LU0563745743_YES_2023-03-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0261948904;Fidelity Iberia;Euro;Europe Equity Large Cap;Article 8;1,07%;13,95%;https://api.fundinfo.com/document/d2f4b8c41330f361e0e402e97f6766fd_456452/MR_ES_es_LU0261948904_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B76P4R28;Liontrust Special Situations Fund;Pound Sterling;UK Equity Large Cap;Not Stated;9,99%;18,67%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F00000P2FT&ClientFund=1&SecurityToken=F00000P2FT]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=GBP
LU0261948227;Fidelity Germany;Euro;Europe Equity Large Cap;Not Stated;1,23%;16,35%;https://api.fundinfo.com/document/e807e87c2631cfb2f892b358bb997c0e_459138/MR_ES_es_LU0261948227_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0083425479;DNB Nordic Equities;Euro;Europe Equity Large Cap;Article 8;15,91%;17,81%;https://api.fundinfo.com/document/811ef6651f17029a8b9d65e4502e81f2_302800/MR_ES_es_LU0083425479_YES_2020-01-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0117861202;JPMorgan America Equity;US Dollar;US Equity Large Cap Blend;Article 8;9,52%;15,37%;https://api.fundinfo.com/document/60e0ea1a6f270d582192f3a1c6c8e5cb_390672/MR_ES_es_LU0117861202_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0106261372;Schroder ISF US Large Cap;US Dollar;US Equity Large Cap Blend;Not Stated;-0,88%;16,63%;https://api.fundinfo.com/document/5b57756bafc2095742a57cd87f5aaf2a_295740/MR_ES_es_LU0106261372_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0251131958;Fidelity America;US Dollar;US Equity Large Cap Value;Article 8;32,80%;30,99%;https://api.fundinfo.com/document/8eb088764b822823fd5ef0d18bd2d9e8_441661/MR_ES_es_LU0251131958_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0225737302;Morgan Stanley US Advantage;US Dollar;US Equity Large Cap Growth;Article 8;11,05%;17,01%;https://api.fundinfo.com/document/123a6fd0961797fdafc8d44f5d57d009_177363/MR_ES_es_LU0225737302_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0035765741;Vontobel US Equity;US Dollar;US Equity Large Cap Growth;Article 8;6,04%;16,67%;https://api.fundinfo.com/document/c87d2efdcab5dce02b2ec1d1e91686e4_107660/MR_ES_es_LU0035765741_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1670627097;M&G North American Value;US Dollar;US Equity Large Cap Value;Article 8;1,80%;19,10%;https://api.fundinfo.com/document/6f390b659bf0db00842c237af7c02af3_136513/MR_ES_es_LU1670627097_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0674140396;Robeco US Select Opportunities;US Dollar;US Equity Mid Cap;Article 8;9,12%;17,74%;https://api.fundinfo.com/document/192633cdd147fa14c7e1a03f91054bc3_263888/MR_ES_es_LU0674140396_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0133096635;T Rowe Price US Smaller Companies;US Dollar;US Equity Small Cap;Article 8;16,86%;15,63%;https://api.fundinfo.com/document/36a2b94a97692a354aab69e84eeb875b_161174/MR_ES_es_LU0133096635_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0887931292;BL - Equities Japan;Euro;Japan Equity;Article 8;10,29%;18,33%;https://api.fundinfo.com/document/9ca2747f665c782bd3f19a6e3bd50cb6_708247/MR_ES_en_LU0887931292_RES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00BFMM8V50;Blackrock Global Equity Selection;Euro;Global Equity Large Cap;Not Stated;11,05%;17,69%;https://api.fundinfo.com/document/58ce0dee64d95f978cabc83bac7c55f7_109095/KID_ES_es_IE00BFMM8V50_YES_2020-07-24.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1261432659;Fidelity Funds - World Fund;Euro;Global Equity Large Cap;Article 8;6,89%;-;https://api.fundinfo.com/document/9b913c81e40a7e38365372abb9ee37f6_428881/MR_ES_es_LU1261432659_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2295319300;MS Global Brands;Euro;Global Equity Large Cap;Article 8;2,84%;18,90%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F000016ENJ&ClientFund=1&SecurityToken=F000016ENJ]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
LU0203975437;Robeco BP Global Premium Equities;Euro;Global Equity Large Cap;Article 8;3,34%;16,48%;https://api.fundinfo.com/document/0a4072a2156a665311fd018bbb7952c0_264600/MR_ES_es_LU0203975437_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1493953001;T.Rowe Global Value Equity;Euro;Global Equity Large Cap;Article 8;5,35%;15,10%;https://api.fundinfo.com/document/8f0df635938a869b7b4d352fb0376879_188034/MR_ES_es_LU1493953001_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0112467450 ;Nordea Global Stable Equity;Euro;Global Equity Large Cap;Article 8;19,20%;22,59%;https://api.fundinfo.com/document/8f0df635938a869b7b4d352fb0376879_188034/MR_ES_es_LU1493953001_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B2NXKW18;Seilern Stryx World Growth;Euro;Global Equity Large Cap;Article 8;8,83%;16,32%;https://api.fundinfo.com/document/b4646f6a5af5045de6cdbba64a99085e_416381/MR_ES_es_IE00B2NXKW18_YES_2022-11-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0690374615;Fundsmith Equity Fund Sicav;Euro;Global Equity Large Cap;Article 8;14,36%;23,03%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F00000O9HI&ClientFund=1&SecurityToken=F00000O9HI]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
IE00B57PQG06;GAM Star Disruptive Growth Fund;Euro;Global Equity Large Cap;Article 8;20,28%;21,95%;https://api.fundinfo.com/document/0eceeec60df892c9db55de11c56fe030_242437/MR_ES_es_IE00B57PQG06_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
BE0946564383;DPAM Equities New Gems Sustainable;Euro;Global Equity Large Cap;Article 8;14,07%;-;https://api.fundinfo.com/document/282b51a4e50ca0931b622398cafc6fa5_358078/MR_ES_es_BE0946564383_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2357235493;Nartex Equity Fund;Euro;Global Equity Large Cap;Not Stated;13,16%;21,60%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F00001D615&ClientFund=1&SecurityToken=F00001D615]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
LU0570870567;Threadneedle Global Smaller Companies;Euro;Global Equity Mid/Small Cap;Article 8;12,53%;16,48%;https://api.fundinfo.com/document/5c2b08433888046034ce03272410636c_505320/MR_ES_es_LU0757428866_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1295551144;Capital Group New Perspective;Euro;Global Equity Large Cap;Not Stated;12,41%;18,84%;https://api.fundinfo.com/document/602caf2ebb913189cf00bed5e490d9dc_238034/MR_ES_es_LU1295551144_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1984711512;Janus Henderson Global Sustainable Equity;Euro;Global Equity Large Cap;Article 9;7,33%;14,98%;https://api.fundinfo.com/document/ec2ffe647036de412b3a76fc2a50159e_577513/MR_ES_es_LU1984711512_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0309191657;BL - Equities Dividend;Euro;Global Equity Large Cap;Article 8;-0,21%;14,28%;https://api.fundinfo.com/document/f710431f39221c6a3dfe628c500caba1_300507/MR_ES_en_LU0309191657_RES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
DE000DWS1U90;DWS Top Dividende;Euro;Global Equity Large Cap;Article 8;1,46%;19,86%;https://api.fundinfo.com/document/7a9af14aa9c13ef978529c8e5817c747_317634/MR_ES_es_DE000DWS1U90_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0261946445;Fidelity Asia Focus;Euro;Asia ex-Japan Equity;Article 8;5,10%;20,96%;https://api.fundinfo.com/document/ec6ebca0be58d8f0fd06d5d406a3aff1_458086/MR_ES_es_LU0261946445_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0345361124;Fidelity Asia Pacific Opportunities;Euro;Asia ex-Japan Equity;Not Stated;3,64%;19,20%;https://api.fundinfo.com/document/34eca2677fbb4c001c826a6f92676f23_446596/MR_ES_es_LU0345361124_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0217390656;JPMorgan - Pacific Equity Fund;Euro;Asia Equity;Article 8;-10,91%;28,07%;https://api.fundinfo.com/document/477c201be78c4e1dd3aec6d6d2239c14_419317/MR_ES_es_LU0217390656_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0187077309;Robeco Chinese Equities;Euro;Greater China Equity;Article 8;-7,61%;28,67%;https://api.fundinfo.com/document/d7aab5700e52ff99db318deb7451f09b_251867/MR_ES_es_LU0187077309_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0717749021;Invesco China Focus Equity;Euro;Greater China Equity;Article 8;20,28%;26,70%;https://api.fundinfo.com/document/033c940398818597cc25029a38f28b69_1044319/MR_ES_es_LU0717749021_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0106817157;Schroder ISF Emerging Europe;Euro;Europe Emerging Markets Equity;Not Stated;2,39%;14,90%;https://api.fundinfo.com/document/71963d5cddee983d4a0c60830b1e108f_276366/MR_ES_es_LU0106817157_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1079763535;T Rowe Price Frontier Markets Equity;US Dollar;Global Emerging Markets Equity;Not Stated;1,96%;20,46%;https://api.fundinfo.com/document/07bf51ffcadb8972d64bf954b7dabae0_184549/MR_ES_es_LU1079763535_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0217576833;JPMorgan Emerging Markets Equity;Euro;Global Emerging Markets Equity;Article 8;4,68%;20,65%;https://api.fundinfo.com/document/aed498c208bc5203373ba72a6163ecd5_422035/MR_ES_es_LU0217576833_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1048684796;Fidelity Emerging Markets;Euro;Global Emerging Markets Equity;Article 8;7,93%;11,67%;https://api.fundinfo.com/document/9cc2f713598712b07727845c26868510_440116/MR_ES_es_LU1048684796_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0582533245;Robeco QI Emerging Conservative Equities;Euro;Global Emerging Markets Equity;Article 8;5,27%;16,11%;https://api.fundinfo.com/document/609311e85ef786214767b9e4dcf6be90_382059/MR_ES_es_LU0582533245_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0255979071;Pictet Indian Equities;Euro;India Equity;Not Stated;19,52%;25,13%;https://api.fundinfo.com/document/fccd11d8352b6b0ae9361f4f1415af9c_147547/MR_ES_es_LU0255979071_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0171289498;BlackRock Latin America;Euro;Latin America Equity;Not Stated;3,14%;23,79%;https://api.fundinfo.com/document/491ca45314c34342c2e391b932d72a27_270947/MR_ES_es_LU0171289498_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0580275534;Bellevue Adamant Medtech & Services;Euro;Healthcare Sector Equity;Article 8;0,32%;14,84%;https://api.fundinfo.com/document/55218698122e855f5d6a8dd2c5780747_735110/MR_ES_en_LU0580275534_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0261952419;Fidelity Global Healthcare;Euro;Healthcare Sector Equity;Article 8;-1,59%;-;https://api.fundinfo.com/document/3c9e5ba04671658eeaffda0cbfbb0e48_476482/MR_ES_es_LU0261952419_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0171307068;BlackRock World Healthscience;Euro;Healthcare Sector Equity;Article 8;2,27%;20,88%;https://api.fundinfo.com/document/d056bda4cd206a5b180fb77c4774f8d1_253472/MR_ES_es_LU0171307068_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0248320664;Pictet Health;Euro;Healthcare Sector Equity;Article 9;3,59%;15,81%;https://api.fundinfo.com/document/a8bd579c206856b9490a662a4db63542_288330/MR_ES_es_LU0248320664_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B3VXGD32;Polar Capital Biotechnology;Euro;Healthcare Sector Equity;Article 8;8,16%;17,96%;https://www.inversis.com/fondos/contenidos/ficha/IE00B3VXGD32_ficha_en.pdf
LU1951229035;Natixis - Thematics Water Fund;Euro;Equity Miscellaneous;Article 9;18,08%;22,17%;https://api.fundinfo.com/document/7fda42a4bf8428b3045e0bb7fea94819_610764/MR_ES_es_LU1951229035_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1165135440  ;BNP Aqua;Euro;Equity Miscellaneous;Article 9;0,31%;15,89%;https://api.fundinfo.com/document/3cec1c8de2d7f10e84d5c14f17abb2d4_212776/MR_ES_es_LU1165135440_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0187079347;Robeco Global Consumer Trends;Euro;Global Equity Large Cap;Article 8;3,16%;16,90%;https://api.fundinfo.com/document/f0917f2b6f494c4c0d19c5b4b16ce0c2_277962/MR_ES_es_LU0187079347_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1947902018;Nordea Global Listed Infrastructure Fund;Euro;Infrastructure Sector Equity;Article 8;8,18%;19,81%;https://api.fundinfo.com/document/6228accf677751a46363c27957a20491_607678/MR_ES_es_LU1947902018_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1665237704  ;M&G Global Listed Infrastructure;Euro;Infrastructure Sector Equity;Article 8;3,98%;21,52%;https://api.fundinfo.com/document/e6d45883014e8967691ccd3301d88f10_1761770/MR_ES_es_LU1665237704_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0114722902;Fidelity Global Industrials;Euro;Industrials Sector Equity;Not Stated;6,07%;20,30%;https://api.fundinfo.com/document/6a56d841cc4bb76453a3abc0a068dd8f_453974/MR_ES_es_LU0114722902_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0340559557;Pictet Timber;Euro;Natural Resources Sector Equity;Article 9;5,24%;18,54%;https://api.fundinfo.com/document/8b521e20ed55145fa898ffdcf221c127_391089/MR_ES_es_LU0340559557_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2095319849;Natixis Thematics Subscription Economy Fund;Euro;Global Equity Large Cap;Article 8;10,23%;20,31%;https://api.fundinfo.com/document/6fcb76c9bfd52beb421fa61cf265f7e2_576903/MR_ES_es_LU2095319849_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0348926287;Nordea Global Climate and Environment;Euro;Global Equity Mid/Small Cap;Article 9;9,14%;21,71%;https://api.fundinfo.com/document/cdcb80c1ad99d79b874730b3d605a814_667928/MR_ES_es_LU0348926287_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0503631714;Pictet - Global Environmental Opportunities;Euro;Global Equity Large Cap;Article 9;6,17%;20,84%;https://api.fundinfo.com/document/0cce6c1b40887901b95c35404ec7748a_273293/MR_ES_es_LU0503631714_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1863264153  ;DWS Invest ESG Climate Tech;Euro;Global Equity Large Cap;Article 8;-3,16%;27,10%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F000011BGT&ClientFund=1&SecurityToken=F000011BGT]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
LU0335216932;Morgan Stanley Global Brands;Euro;Global Equity Large Cap;Article 8;14,34%;26,83%;https://api.fundinfo.com/document/98e32497b4966e0503e17610b5f178ad_177723/MR_ES_es_LU0335216932_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0300736062;Franklin Natural Resources;US Dollar;Energy Sector Equity;Not Stated;7,12%;-;https://api.fundinfo.com/document/b3beaccbc64d713aac187360afcd5aac_222726/MR_ES_es_LU0300736062_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2145461757  ;RobecoSAM Smart Energy;Euro;Energy Sector Equity;Article 9;4,00%;21,28%;https://api.fundinfo.com/document/f0bbd0e7cbb4234fceb153822e593816_372533/MR_ES_es_LU2145461757_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0171304719;BlackRock World Financials;Euro;Financials Sector Equity;Article 8;9,15%;22,52%;https://api.fundinfo.com/document/3e2003c7dc53c237650bf31e4db29d72_286026/MR_ES_es_LU0171304719_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1391767586  ;Fidelity Global Financial Services;Euro;Financials Sector Equity;Article 8;8,59%;14,48%;https://api.fundinfo.com/document/a47e96348d14df4b3fbe634150641bff_401449/MR_ES_es_LU1391767586_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1700710939;Robeco Global Fintech Equities;Euro;Technology Sector Equity;Article 8;1,68%;19,02%;https://api.fundinfo.com/document/5c255064aa6cecfa1a73f43e93519e58_268230/MR_ES_es_LU1700710939_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1103786700;CPR Silver Age;Euro;Europe Equity Large Cap;Article 8;0,78%;24,07%;https://api.fundinfo.com/document/3fb9c122c1b997c63ead49ef59b06bbf_794057/MR_ES_es_LU1103786700_RES_2023-03-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0264738294;Janus Henderson Global Property;Euro;Real Estate Sector Equity;Article 8;9,79%;22,78%;https://api.fundinfo.com/document/a4f054a4ea84e2456fb63adc81faac19_562955/MR_ES_es_LU0264738294_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0088927925;Janus Henderson Pan European Property;Euro;Real Estate Sector Equity;Article 8;7,86%;33,78%;https://api.fundinfo.com/document/de4f6ec3c69e1d8af15bc953664f7821_564149/MR_ES_es_LU0088927925_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0329429897;GAM Luxury Brands;Euro;Consumer Goods & Services Sector Equity;Article 8;32,46%;33,06%;https://api.fundinfo.com/document/6e0ab95f0304b508e122d9d5ca85dab2_272067/MR_ES_es_LU0329429897_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0345780281;Ninety One Global Gold Fund;US Dollar;Precious Metals Sector Equity;Not Stated;30,68%;22,01%;https://api.fundinfo.com/document/0a499c8bca826f17729c73362f82333f_106970/MR_ES_es_LU0345780281_YES_2022-12-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0474967303;Pictet Digital;Euro;Technology Sector Equity;Article 8;31,73%;23,61%;https://api.fundinfo.com/document/33933b0594d8fb31dba9ed15c430bfb7_283926/MR_ES_es_LU0474967303_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1548497772;Allianz Global Artificial Intelligence;Euro;Technology Sector Equity;Not Stated;13,34%;33,09%;https://api.fundinfo.com/document/2860e7ba350347f42c6198423b92de34_384180/MR_ES_es_LU1548497772_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1863263346;DWS Invest Artificial Intelligence;Euro;Technology Sector Equity;Article 8;13,32%;30,47%;https://api.fundinfo.com/document/fcb7d648ff4961404b6e84a45efa1334_242939/MR_ES_es_LU1863263346_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
